"entry_time","temperature","ph","conductivity","moisture","salinity","tds"
"2024-05-11 11:27:16.717",222,76,1101,534,0,0
"2024-05-11 11:28:16.734",222,76,1100,544,0,0
"2024-05-11 11:29:16.752",222,76,1100,554,0,0
"2024-05-11 11:30:16.769",222,76,1100,534,0,0
"2024-05-11 11:31:16.786",221,76,1100,534,0,0
"2024-05-11 11:32:16.806",222,76,1100,534,0,0
"2024-05-11 11:33:16.821",222,76,1100,554,0,0
"2024-05-11 11:34:16.837",221,76,1099,554,0,0
"2024-05-11 11:35:16.855",221,76,1100,560,0,0
"2024-05-11 11:36:16.873",222,76,1100,536,0,0
"2024-05-11 11:37:16.889",221,76,1099,554,0,0
"2024-05-11 11:38:16.906",221,76,1100,562,0,0
"2024-05-11 11:39:16.924",222,76,1098,574,0,0
"2024-05-11 11:40:16.94",221,76,1100,578,0,0
"2024-05-11 11:41:16.958",221,76,1100,554,0,0
"2024-05-11 11:42:16.975",221,76,1100,546,0,0
"2024-05-11 11:43:16.992",221,76,1098,554,0,0
"2024-05-11 11:44:17.01",221,76,1098,534,0,0
"2024-05-11 11:45:17.027",221,76,1098,534,0,0
"2024-05-11 11:46:17.044",221,76,1099,534,0,0
"2024-05-11 11:47:17.06",221,76,1098,584,0,0
"2024-05-11 11:48:17.078",221,76,1098,578,0,0
"2024-05-11 11:49:17.095",221,76,1098,554,0,0
"2024-05-11 11:50:17.112",221,76,1098,560,0,0
"2024-05-11 11:51:17.13",221,76,1099,558,0,0
"2024-05-11 11:52:17.146",220,76,1100,556,0,0
"2024-05-11 11:53:17.164",221,76,1098,556,0,0
"2024-05-11 11:54:17.181",221,76,1098,546,0,0
"2024-05-11 11:55:17.198",221,76,1098,534,0,0
"2024-05-11 11:56:17.215",221,76,1096,560,0,0
"2024-05-11 11:57:17.232",220,76,1098,558,0,0
"2024-05-11 11:58:17.253",220,76,1097,546,0,0
"2024-05-11 11:59:17.267",220,76,1097,558,0,0
"2024-05-11 12:00:17.284",220,76,1098,546,0,0
"2024-05-11 12:01:17.302",221,76,1099,566,0,0
"2024-05-11 12:02:17.318",220,76,1096,570,0,0
"2024-05-11 12:03:17.335",220,76,1096,552,0,0
"2024-05-11 12:04:17.352",220,76,1097,534,0,0
"2024-05-11 12:05:17.37",220,76,1097,534,0,0
"2024-05-11 12:06:17.388",220,76,1099,566,0,0
"2024-05-11 12:07:17.405",220,76,1097,564,0,0
"2024-05-11 12:08:17.421",220,76,1097,554,0,0
"2024-05-11 12:09:17.439",220,76,1097,534,0,0
"2024-05-11 12:10:17.455",220,76,1098,534,0,0
"2024-05-11 12:11:17.473",220,76,1097,532,0,0
"2024-05-11 12:12:17.49",220,76,1097,560,0,0
"2024-05-11 12:13:17.507",220,76,1096,558,0,0
"2024-05-11 12:14:17.525",220,76,1096,534,0,0
"2024-05-11 12:15:17.541",220,76,1097,562,0,0
"2024-05-11 12:16:17.559",220,76,1097,572,0,0
"2024-05-11 12:17:17.576",220,76,1097,534,0,0
"2024-05-11 12:18:17.593",219,76,1096,546,0,0
"2024-05-11 12:19:17.609",219,76,1097,556,0,0
"2024-05-11 12:20:17.627",220,76,1097,554,0,0
"2024-05-11 12:21:17.644",220,76,1097,566,0,0
"2024-05-11 12:22:17.661",219,76,1096,566,0,0
"2024-05-11 12:23:17.679",219,76,1096,560,0,0
"2024-05-11 12:24:17.695",219,76,1094,554,0,0
"2024-05-11 12:25:17.713",219,76,1094,534,0,0
"2024-05-11 12:26:17.731",219,76,1096,570,0,0
"2024-05-11 12:27:17.751",219,76,1095,534,0,0
"2024-05-11 12:28:17.764",219,76,1094,560,0,0
"2024-05-11 12:29:17.781",219,76,1097,554,0,0
"2024-05-11 12:30:17.799",219,76,1094,556,0,0
"2024-05-11 12:31:17.815",219,76,1094,532,0,0
"2024-05-11 12:32:17.834",219,76,1095,558,0,0
"2024-05-11 12:33:17.85",219,76,1094,534,0,0
"2024-05-11 12:34:17.868",219,76,1094,534,0,0
"2024-05-11 12:35:17.885",219,76,1094,566,0,0
"2024-05-11 12:36:17.902",219,76,1094,613,0,0
"2024-05-11 12:37:17.919",219,76,1094,534,0,0
"2024-05-11 12:38:17.936",219,76,1095,566,0,0
"2024-05-11 12:39:17.953",219,76,1095,566,0,0
"2024-05-11 12:40:17.978",219,76,1095,560,0,0
"2024-05-11 12:41:17.987",219,76,1094,546,0,0
"2024-05-11 12:42:18.004",219,76,1094,534,0,0
"2024-05-11 12:43:18.022",219,76,1094,560,0,0
"2024-05-11 12:44:18.04",219,76,1094,570,0,0
"2024-05-11 12:45:18.057",219,76,1095,566,0,0
"2024-05-11 12:46:18.073",219,76,1094,534,0,0
"2024-05-11 12:47:18.09",219,76,1095,554,0,0
"2024-05-11 12:48:18.107",219,76,1094,570,0,0
"2024-05-11 12:49:18.124",219,76,1094,534,0,0
"2024-05-11 12:50:18.142",219,76,1094,546,0,0
"2024-05-11 12:51:18.159",219,76,1094,566,0,0
"2024-05-11 12:52:18.177",219,76,1094,570,0,0
"2024-05-11 12:53:18.199",218,76,1094,536,0,0
"2024-05-11 12:54:18.21",219,76,1094,570,0,0
"2024-05-11 12:55:18.227",219,76,1094,546,0,0
"2024-05-11 12:56:18.245",218,76,1094,554,0,0
"2024-05-11 12:57:18.262",218,76,1094,554,0,0
"2024-05-11 12:58:18.279",219,76,1094,554,0,0
"2024-05-11 12:59:18.296",218,76,1093,546,0,0
"2024-05-11 13:00:18.314",218,76,1094,554,0,0
"2024-05-11 13:01:18.33",218,76,1093,552,0,0
"2024-05-11 13:02:18.349",218,76,1093,546,0,0
"2024-05-11 13:03:18.365",218,76,1094,534,0,0
"2024-05-11 13:04:18.382",218,76,1094,554,0,0
"2024-05-11 13:05:18.399",218,76,1093,534,0,0
"2024-05-11 13:06:18.417",218,76,1094,534,0,0
"2024-05-11 13:07:18.433",218,76,1094,556,0,0
"2024-05-11 13:08:18.451",218,76,1093,544,0,0
"2024-05-11 13:09:18.468",218,76,1094,566,0,0
"2024-05-11 13:10:18.484",218,76,1094,570,0,0
